created_at	full_text	screen_name	edited_text
Sun May 19 16:22:00 +0000 2019	"Massiel: ""Disfruto con averías, con la propia soledad, con tumbarme en una tumbona y ver que ha salido una flor de pitiminí en mi terraza y que está cuajando un jazmín. Yo digo, es que no se puede estar mejor""  https://t.co/4b38vTmbOx https://t.co/GXp3jiVZ2L"	el_pais	Massiel Disfruto averías propia soledad tumbarme tumbona ver salido flor pitiminí terraza cuajando jazmín digo puede mejor ''
Sun May 19 16:12:00 +0000 2019	"""Un hombre no aguanta a una alcohólica de la manera en que las mujeres aguantan a su pareja alcoholizada"". Entrevista con la escritora Mary Karr https://t.co/Y70f4QQhcr"	el_pais	hombre aguanta alcohólica manera mujeres aguantan pareja alcoholizada '' Entrevista escritora Mary Karr
Sun May 19 16:06:06 +0000 2019	RT @elpais_retina: Aldous Huxley temía un mundo anestesiado en el que no habría necesidad de censurar libros porque nadie estaría interesad…	el_pais	elpais_retina Aldous Huxley temía mundo anestesiado necesidad censurar libros nadie interesad…
Sun May 19 16:02:00 +0000 2019	El líder ideal en una empresa es alguien adaptable, ágil y asertivo. ¿Qué aspirante al Trono de Hierro reúne estas cualidades? Los expertos en gestión eligen al mejor jefe de #JuegoDeTronos https://t.co/Kk7FmgAGiz	el_pais	líder ideal empresa alguien adaptable ágil asertivo ¿Qué aspirante Trono Hierro reúne cualidades expertos gestión eligen mejor jefe JuegoDeTronos
Sun May 19 15:52:00 +0000 2019	No es habitual que una mujer pida el voto desde una marquesina luciendo una enorme barriga embarazada. Es tan poco habitual que es la primera vez en la historia de la democracia española y la segunda en el mundo https://t.co/hB0NLWtrQI	el_pais	habitual mujer pida voto marquesina luciendo enorme barriga embarazada habitual primera vez historia democracia española segunda mundo
Sun May 19 15:51:47 +0000 2019	RT @elpais_cultura: 'Juego de tronos' llega a su final convertida en un fenómeno cultural sin precedentes que ha ayudado a hacer más grande…	el_pais	elpais_cultura 'Juego tronos llega final convertida fenómeno cultural precedentes ayudado hacer grande…
Sun May 19 15:42:00 +0000 2019	"""Cada dos minutos muere una mujer en el mundo a causa del cáncer de cuello uterino. Me entristece ver que la ignorancia está privando a muchas de ellas de aprovechar esta oportunidad”. Entrevista con la creadora de la vacuna del virus del papiloma humano https://t.co/bDarOanH8W"	el_pais	Cada dos minutos muere mujer mundo causa cáncer cuello uterino entristece ver ignorancia privando muchas aprovechar oportunidad ” Entrevista creadora vacuna virus papiloma humano
Sun May 19 15:36:31 +0000 2019	RT @FotografiaPais: Fotos: Del parche de Madonna al delirio australiano: lo mejor y lo peor de los estilismos de #Eurovisión https://t.co/6…	el_pais	FotografiaPais Fotos parche Madonna delirio australiano mejor peor estilismos Eurovisión
Sun May 19 15:36:22 +0000 2019	RT @ELPAISGalicia: Dos encapuchados asaltan y amordazan a un matrimonio anciano en Boborás https://t.co/MGK2zArCv4 vía @el_pais	el_pais	ELPAISGalicia Dos encapuchados asaltan amordazan matrimonio anciano Boborás el_pais
Sun May 19 15:32:00 +0000 2019	"""Lo de ponerse en la salida de la cocina para pillar a los camareros con la bandeja llena es un mito"". En @verne https://t.co/hUGsUa3QlU"	el_pais	ponerse salida cocina pillar camareros bandeja llena mito '' verne
Sun May 19 15:30:18 +0000 2019	RT @elpais_opinion: Jesús Mota: Asistimos a una involución del paisaje ciudadano hacia la indigencia. Regresamos a la imagen tercermundista…	el_pais	elpais_opinion Jesús Mota Asistimos involución paisaje ciudadano hacia indigencia Regresamos imagen tercermundista…
Sun May 19 15:30:16 +0000 2019	RT @verne: En las radios sonaban 'Born this Way' de Lady Gaga y 'On the Floor' de Jennifer Lopez y Pitbull. https://t.co/nPHGJIbxay	el_pais	verne radios sonaban 'Born Way Lady Gaga 'On Floor Jennifer Lopez Pitbull
Sun May 19 15:22:00 +0000 2019	El éxito de una simple canción ha enervado a las autoridades iraníes. Las amenazas de represalias, sin embargo, solo han servido para que se multiplicasen los vídeos de adolescentes bailando https://t.co/taxuzoWTEl	el_pais	éxito simple canción enervado autoridades iraníes amenazas represalias embargo solo servido multiplicasen vídeos adolescentes bailando
