created_at	full_text	screen_name	edited_text
Thu May 23 05:29:00 +0000 2019	El sector de la construcción de China usa clandestinamente el CFC-11 de forma masiva, lo que podría ralentizar la recuperación del manto protector de la Tierra https://t.co/XQ8rQ8v3VN	materia_ciencia	sector construcción China usa clandestinamente CFC-11 forma masiva podría ralentizar recuperación manto protector Tierra
Wed May 22 19:21:00 +0000 2019	"""Estar a su lado era un estímulo constante. Punset era único. Muy imitable, pero irrepetible"" https://t.co/cisz6GlbYi"	materia_ciencia	lado estímulo constante Punset único imitable irrepetible ''
Wed May 22 19:00:00 +0000 2019	"""Punset nos brindó ciencia más elevada de lo habitual en televisión a toda una generación de jóvenes con formación científica"" https://t.co/JLhZT6lM1I"	materia_ciencia	Punset brindó ciencia elevada habitual televisión toda generación jóvenes formación científica ''
Wed May 22 18:56:00 +0000 2019	"""Parecía el vecino despistado de la calle Españoleto, en Chamberí, con su pelo alborotado como un emblema de su relación con el viento y las ideas"" https://t.co/aZgoy7u20V"	materia_ciencia	Parecía vecino despistado calle Españoleto Chamberí pelo alborotado emblema relación viento ideas ''
Wed May 22 18:40:00 +0000 2019	Martin Gardner murió hace hoy once años. Recordamos su gran logro: acercar las matemáticas al gran público, mediante retos como este, que divertían a la vez que desquiciaban. ¿Puedes pasar por los 9 puntos con 4 líneas rectas seguidas? https://t.co/tkA6ZQFmHL https://t.co/CubiZ5H8Gy	materia_ciencia	Martin Gardner murió hace hoy años Recordamos gran logro acercar matemáticas gran público mediante retos divertían vez desquiciaban ¿Puedes pasar 9 puntos 4 líneas rectas seguidas
Wed May 22 18:21:00 +0000 2019	Ese chaval melenudo y barbudo de la foto, Mauro Ferrari, va a manejar un presupuesto mayor que el de muchos países: 16.600 millones de euros para el periodo 2021-2027. Esta es la triste historia de aquella foto de 1987 https://t.co/UXXpTmN5y3	materia_ciencia	chaval melenudo barbudo foto Mauro Ferrari va manejar presupuesto mayor países 16.600 millones euros periodo 2021-2027 triste historia aquella foto 1987
Wed May 22 17:45:00 +0000 2019	Arthur Conan Doyle creó el primer detective científico, Sherlock Holmes, un ejemplo de lo racional que popularizó el uso de técnicas forenses para resolver crímenes. Pero el escritor (nacido hace hoy 160 años) también creía en los fantasmas. https://t.co/FzRCQ7S8mE https://t.co/ioX3DqWJSl	materia_ciencia	Arthur Conan Doyle creó primer detective científico Sherlock Holmes ejemplo racional popularizó uso técnicas forenses resolver crímenes escritor nacido hace hoy 160 años creía fantasmas
Wed May 22 17:08:13 +0000 2019	Un grupo internacional de científicos localiza el origen de miles de toneladas del compuesto químico que escapa a la atmósfera cada año https://t.co/XQ8rQ8dt4f	materia_ciencia	grupo internacional científicos localiza origen miles toneladas compuesto químico escapa atmósfera cada año
Wed May 22 16:21:37 +0000 2019	RT @manuelansede: Ese chaval melenudo de la foto, Mauro Ferrari, va a manejar un presupuesto mayor que el de muchos países: 16.600 millones…	materia_ciencia	manuelansede chaval melenudo foto Mauro Ferrari va manejar presupuesto mayor países 16.600 millones…
Wed May 22 14:51:57 +0000 2019	RT @cazadorcerebros: Ver #Redes me hace sentir inteligente”. Ojalá alguien dijese algo parecido de nosotros algún día. #EduardPunset #Cazad…	materia_ciencia	cazadorcerebros Ver Redes hace sentir inteligente ” Ojalá alguien dijese parecido algún día EduardPunset Cazad…
Wed May 22 14:38:33 +0000 2019	"""Carisma en estado puro"". @Perestupinya recuerda a su mentor y maestro, Eduard Punset, ""muy imitable, pero irrepetible""
https://t.co/cisz6G3B6K"	materia_ciencia	Carisma puro '' Perestupinya recuerda mentor maestro Eduard Punset imitable irrepetible ''
Wed May 22 12:20:53 +0000 2019	El sabio del cielo y de la esquina. @cosmejuan escribe sobre Eduard Punset https://t.co/aZgoy7cr9n	materia_ciencia	sabio cielo esquina cosmejuan escribe Eduard Punset
Wed May 22 10:12:50 +0000 2019	“Necesitamos un nuevo Punset”. El mundo de la divulgación científica despide al director de 'Redes'. Con @A_Valenzuela, @mimesacojea y @calvoroy https://t.co/JLhZT6Dnqi	materia_ciencia	“ Necesitamos nuevo Punset ” mundo divulgación científica despide director 'Redes A_Valenzuela mimesacojea calvoroy
Wed May 22 09:01:07 +0000 2019	El matemático que dejó de estudiar galaxias para intentar curar el cáncer https://t.co/UXXpTmN5y3	materia_ciencia	matemático dejó estudiar galaxias intentar curar cáncer
Wed May 22 07:47:55 +0000 2019	Muere Eduard Punset a los 82 años. Adiós al divulgador científico más popular de la televisión española https://t.co/V9v34UgdXH	materia_ciencia	Muere Eduard Punset 82 años Adiós divulgador científico popular televisión española
Tue May 21 19:24:00 +0000 2019	Parece una secuencia de una película postapocalíptica, pero en realidad es el fondo del Mediterráneo. https://t.co/KZpPZuWUBz	materia_ciencia	Parece secuencia película postapocalíptica realidad fondo Mediterráneo
